rank,Player,role,Age,Minutes,p_sold,p_export,sales_score,age_peak
1,M. Hellan,FB,22.0,1234.0,0.2903225806451613,0.07692307692307693,3.171574430304824,False
2,O. Spiten-Nysæter,W,18.0,850.0,0.2903225806451613,0.03418803418803419,3.171574430304824,False
3,B. Diabaté,ST,25.0,1978.0,0.2642857142857143,0.015789473684210527,2.887139580602883,True
4,M. Dahlby,ST,26.0,1035.0,0.17791411042944785,0.011884550084889643,1.9435892384758258,False
5,S. Olderheim,W,18.0,2066.0,0.17791411042944785,0.0434432905423497,1.9435892384758258,False
6,J. Isaksen,CM,26.0,1698.0,0.17791411042944785,0.03418803418803419,1.9435892384758258,False
7,R. Vinge,W,24.0,1506.0,0.11267605633802817,0.043478260869565216,1.2309083860963947,True
8,F. Riise,FB,18.0,979.0,0.11267605633802817,0.01238390092879257,1.2309083860963947,False
9,K. Kostadinov,CM,23.0,700.0,0.11267605633802817,0.017543859649122806,1.2309083860963947,False
10,A. Bawa,CM,21.0,483.0,0.11267605633802817,0.008363201911589008,1.2309083860963947,False
11,A. Matić,CM,23.0,1012.0,0.10223642172523961,0.043478260869565216,1.116862561186505,False
12,N. Næss,CB,32.0,2439.0,0.05714285714285714,0.01238390092879257,0.6242463958060288,False
13,E. Danso,CM,24.0,2091.0,0.047156726768377254,0.011884550084889643,0.5151547926554606,True
14,F. Ellegaard,W,25.0,485.0,0.047156726768377254,0.011884550084889643,0.5151547926554606,True
15,M. Nielsen,CB,31.0,1798.0,0.047156726768377254,0.008363201911589008,0.5151547926554606,False
16,K. Onsrud,CM,31.0,1475.0,0.047156726768377254,0.011884550084889643,0.5151547926554606,False
17,A. Andresen,FB,20.0,2684.0,0.03822098679638637,0.011884550084889643,0.41753798190639513,False
18,K. Pedersen,CB,32.0,2119.0,0.03822098679638637,0.002717391304347826,0.41753798190639513,False
19,O. Veum,CB,21.0,536.0,0.03822098679638637,0.008363201911589008,0.41753798190639513,False
20,J. Skjelvik,CB,34.0,409.0,0.03822098679638637,0.011884550084889643,0.41753798190639513,False
21,K. Opseth,ST,35.0,319.0,0.03822098679638637,0.008363201911589008,0.41753798190639513,False
